Title,Yapımşirketi,Sezonsayısı,Yayıntarihi,Tür,Kanal,Başrol
Tozkoparan,Veya Yapım  (1-10) Fotoroman Film Yapım  (11-55),3,11 Kasım 2018 - 19 Nisan 2020,Tarihî Macera Dram,TRT 1,Özgür Ege Nalcı Yusuf Gökhan Atalay Burak Kut Burcu Altın Tuana Naz Tiryaki Leya Kırşan Yağız Kılınç Deniz Erayvaz Alara Kardak
Mahallenin Muhtarları,Replik Yapım,10,5 Ekim 1992  ( 1992-10-05 )  -  18 Haziran 2002  ( 2002-06-18 ),Aile,Kanal 6  (1992-1994) atv  (1994-2000) Kanal D  (2001-2002) Star TV  (2002),Aydan Burhan Erkan Can Cihat Tamer Işık Aras Goncagül Sunar Esra Akkaya Nedret Özbek Leman Çıdamlı Filiz Taçbaş
Nöbet,Pana Film,1,3 Mart 2019 - 5 Mayıs 2019,Dram Aksiyon Askerî Savaş,Show TV,Yurdaer Okur Saygın Soysal Deniz Bolışık İpek Karapınar Kürşat Alnıaçık İbrahim Kendirci
Tatil Aşkları,,1,2004 - 2004,Komedi,Star TV,Seray Sever Nilgün Belgün Ercan Yazgan
Kuzey Rüzgârı,Duka Film,1,3 Eylül 2007 - 30 Ocak 2008,Aşk Mafya,Show TV,Kadir İnanır Oktay Kaynarca Ebru Kocaağa Çağla Kubat Selçuk Yöntem [1]
Türk Malı,Süreç Film,2,28 Mayıs 2017 - 27 Eylül 2017,Komedi,Star TV  ( HD ) (2017),Şafak Sezer Mehmet Ali Erbil Hasibe Eren Nergis Kumbasar
İnadına Yaşamak,Süreç Film,1,28 Kasım 2013  ( 2013-11-28 )  -  9 Ocak 2014  ( 2014-01-09 ),Dram Romantik,Kanal D,Sanem Çelik Oktay Kaynarca Murat Ünalmış
Küçük Ağa,Erler Film,2,28 Ocak 2014  ( 2014-01-28 )  -  17 Mart 2015  ( 2015-03-17 ),Aile Komedi,Kanal D,Birce Akalay Emir Berke Zincidi Sarp Levendoğlu Zeki Alasya
Saygılar Bizden,Bugay Yapım,1,19 Eylül 1992 - 12 Aralık 1992,Dram Komedi Politika,InterSTAR,Kemal Sunal Jülide Kural Selma Tarcan Yaman Tarcan Nur Gürkan Alev Oraloğlu Tuncer Necmioğlu Zafer Algöz Yaman Okay Güler Ökten Ozan Bilen Orhan Çağman Kutay Köktürk Erdinç Dinçer
Koca Koca Yalanlar,Limon Film,1,13 Ağustos 2018 - 30 Ekim 2018,Dram Komedi,Kanal D,Hakan Yılmaz Evrim Alasya Selen Uçer Pelin Öztekin
Hayat Şarkısı,Most Production,2,9 Şubat 2016 - 6 Haziran 2017,Dram Romantik Aile,Kanal D,Burcu Biricik Birkan Sokullu Ahmet Mümtaz Taylan
Eşkıya Dünyaya Hükümdar Olmaz,,6,8 Eylül 2015 - 15 Haziran 2021,Aksiyon Suç Dram,atv  (2015-2021),1. sezon Oktay Kaynarca Deniz Çakır Müjde Uzman Yunus Emre Yıldırımer Ozan Akbaba Tarık Ünlüoğlu 2. sezon Oktay Kaynarca Deniz Çakır Sanem Çelik Yunus Emre Yıldırımer Ozan Akbaba Tarık Ünlüoğlu 3. sezon Oktay Kaynarca Deniz Çakır Sanem Çelik Mesut Akusta Olgun Şimşek Yunus Emre Yıldırımer Ozan Akbaba Tarık Ünlüoğlu 4. sezon Oktay Kaynarca Mustafa Üstündağ Hüseyin Avni Danyal Yunus Emre Yıldırımer Ozan Akbaba Tarık Ünlüoğlu 5. sezon Oktay Kaynarca Naz Elmas Mustafa Üstündağ Hüseyin Avni Danyal Yunus Emre Yıldırımer Ozan Akbaba Burak Sergen 6. sezon Oktay Kaynarca Sanem Çelik Hüseyin Avni Danyal Yunus Emre Yıldırımer Ozan Akbaba Ali Sürmeli
